MED-1818,MED-3722,0.5399246013145123
MED-5153,MED-5271,0.5201081734859558
MED-3966,MED-3961,0.5008800662840949
MED-1289,MED-1282,0.534909681813166
MED-2417,MED-2437,0.5002482129616974
MED-2770,MED-2773,0.5066056998779871
MED-3848,MED-3830,0.5744666493079917
MED-1755,MED-1757,0.6094010170987795
MED-1814,MED-1818,0.5430297610615565
MED-1178,MED-1179,0.5085823610298048
MED-1017,MED-1013,0.5164348248559006
MED-4327,MED-5338,0.5110723604405565
MED-4650,MED-4649,0.521679670572397
MED-4335,MED-4588,0.5519755091652275
MED-1289,MED-1284,0.5291356030271347
MED-5289,MED-4336,0.5012321877772874
MED-1388,MED-2593,0.5193483825120464
MED-2601,MED-2602,0.5230880885537097
MED-1130,MED-4851,0.5344139761893456
MED-4848,MED-4851,0.5482245155290836
MED-3832,MED-2437,0.5026595826620875
MED-1103,MED-2414,0.5438887299017388
MED-3205,MED-3200,0.6560805032634751
MED-3790,MED-3245,0.5276927538920899
MED-1103,MED-5089,0.5116087340673304
MED-2844,MED-2851,0.7845991487510867
MED-1118,MED-1122,0.5568760523160057
MED-3424,MED-3426,0.509315366874491
MED-1292,MED-1291,0.6477347068246967
MED-1226,MED-4680,0.5540554254250667
MED-4851,MED-4629,0.5162992386968708
MED-1394,MED-1390,0.5840017181944593
MED-1278,MED-1282,0.5022791763305421
